author_id,author_name,journal_id,journal_name,specific_works,total_works
A5060998637,C. Herzog,S175405714,European Journal of International Law (EJIL),1,1
A5061004957,Sakr Abu Fakhr,S88529193,Journal of Palestine Studies,1,1
A5061013023,Richard N. Lalonde,S168863142,Journal of Social Issues (JSI),0,3
A5061013023,Richard N. Lalonde,S187348256,Personality and Social Psychology Bulletin (PSPB),0,4
A5061013023,Richard N. Lalonde,S29984966,Journal of Personality and Social Psychology (JPSP),0,3
A5061013023,Richard N. Lalonde,S81071032,Group Processes & Intergroup Relations (GPIR),1,7
A5061032998,Adi Finkelstein,S38600022,Human Rights Quarterly,1,1
A5061032998,Adi Finkelstein,S65076878,Journal of Human Rights (JHR),1,1
A5061045736,Yasmin Shaked,S5866276,Journal of Loss and Trauma,1,1
A5061059598,Alan S. Zuckerman,S143110675,World Politics,0,2
A5061059598,Alan S. Zuckerman,S176007004,American Political Science Review (APSR),1,11
A5061059598,Alan S. Zuckerman,S95650557,Journal of Politics (JOP),0,4
A5061059598,Alan S. Zuckerman,S95691132,British Journal of Political Science (BJPolS),0,1
A5061111966,Yoram Fried,S199726014,British Journal of Middle Eastern Studies (BRISMES),1,1
A5061118858,J. H. Taylor,S149872823,Journal of Ethnic and Migration Studies (JEMS),1,1
A5061149888,Sana Abed-Kotob,S184885884,Middle East Journal,1,1
A5061149888,Sana Abed-Kotob,S87435064,International Journal of Middle East Studies (IJMES),0,1
A5061172285,Boris A. Portnov,S149872823,Journal of Ethnic and Migration Studies (JEMS),2,2
A5061183491,Leonard M. Hammer,S139935717,International Journal of Human Rights (IJHR),1,1
A5061183491,Leonard M. Hammer,S158082692,Netherlands Quarterly of Human Rights (NQHR),1,1
A5061183491,Leonard M. Hammer,S197191252,Journal of International Economic Law (JIEL),0,1
A5061186576,Wei Wang,S187348256,Personality and Social Psychology Bulletin (PSPB),0,1
A5061186576,Wei Wang,S29984966,Journal of Personality and Social Psychology (JPSP),1,1
A5061210983,Varda Liberman,S187348256,Personality and Social Psychology Bulletin (PSPB),1,2
A5061210983,Varda Liberman,S29984966,Journal of Personality and Social Psychology (JPSP),1,1
A5061213220,Mark Q. Sawyer,S102499938,American Anthropologist,0,1
A5061213220,Mark Q. Sawyer,S105812952,Du Bois Review: Social Science Research on Race,1,4
A5061213220,Mark Q. Sawyer,S96629499,Ethnic and Racial Studies,0,1
A5061236089,Lynne Barbee,S88529193,Journal of Palestine Studies,1,3
A5061310641,James E. Akins,S88529193,Journal of Palestine Studies,7,13
A5061356960,Miriam Joyce,S184885884,Middle East Journal,2,4
A5061356960,Miriam Joyce,S87435064,International Journal of Middle East Studies (IJMES),1,2
A5061396279,David Adams,S88529193,Journal of Palestine Studies,1,1
A5061415208,Noah Lewin-Epstein,S122471516,American Journal of Sociology (AJS),1,5
A5061415208,Noah Lewin-Epstein,S149872823,Journal of Ethnic and Migration Studies (JEMS),1,1
A5061415208,Noah Lewin-Epstein,S157620343,American Sociological Review (ASR),1,1
A5061415208,Noah Lewin-Epstein,S159327246,European Sociological Review (ESR),2,3
A5061415208,Noah Lewin-Epstein,S96629499,Ethnic and Racial Studies,0,1
A5061442051,Gabriela Jonas Aharoni,S44753038,European Journal of Cultural Studies,1,1
A5061479008,Hanna Herzog,S173252385,The British Journal of Sociology (BJS),1,1
A5061479008,Hanna Herzog,S176007004,American Political Science Review (APSR),1,1
A5061479008,Hanna Herzog,S603496,"Social Identities: Journal for the Study of Race, Nation and Culture",1,1
A5061479008,Hanna Herzog,S87435064,International Journal of Middle East Studies (IJMES),1,1
A5061479008,Hanna Herzog,S96629499,Ethnic and Racial Studies,3,4
A5061527121,Elham Fakhro,S88529193,Journal of Palestine Studies,1,1
A5061539720,Isaak Dore,S160097506,American Journal of International Law (AJIL),1,4
A5061550924,Ashton C. Southard,S187348256,Personality and Social Psychology Bulletin (PSPB),1,1
A5061624835,Chris Smaje,S96629499,Ethnic and Racial Studies,1,2
A5061655577,James Dickins,S199726014,British Journal of Middle Eastern Studies (BRISMES),3,3
A5061657079,Liora R. Halperin,S87435064,International Journal of Middle East Studies (IJMES),0,2
A5061657079,Liora R. Halperin,S96629499,Ethnic and Racial Studies,1,1
A5061711155,Melody M Chao,S168863142,Journal of Social Issues (JSI),0,2
A5061711155,Melody M Chao,S187348256,Personality and Social Psychology Bulletin (PSPB),0,3
A5061711155,Melody M Chao,S29984966,Journal of Personality and Social Psychology (JPSP),2,5
A5061711155,Melody M Chao,S81071032,Group Processes & Intergroup Relations (GPIR),0,1
A5061712040,Zahava Solomon,S29984966,Journal of Personality and Social Psychology (JPSP),2,4
A5061712040,Zahava Solomon,S5866276,Journal of Loss and Trauma,4,7
A5061764615,D. Diner,S132513827,New German Critique,0,6
A5061764615,D. Diner,S184094801,History and Memory,0,1
A5061764615,D. Diner,S64143016,Constellations,0,1
A5061764615,D. Diner,S97631563,Telos,1,1
A5061785337,Szabolcs Pogonyi,S149872823,Journal of Ethnic and Migration Studies (JEMS),1,1
A5061822375,Isabella Waltz,S38600022,Human Rights Quarterly,1,1
A5061830433,Noha Mellor,S199726014,British Journal of Middle Eastern Studies (BRISMES),1,3
A5061830433,Noha Mellor,S94209876,Middle East Critique,0,1
A5061832455,Norman Bentwich,S117766065,Harvard Law Review,0,1
A5061832455,Norman Bentwich,S156235965,International & Comparative Law Quarterly (ICLQ),8,10
A5061832455,Norman Bentwich,S160097506,American Journal of International Law (AJIL),0,3
A5061832455,Norman Bentwich,S173252385,The British Journal of Sociology (BJS),0,1
A5061832507,Cathleen Bridgeman,S199726014,British Journal of Middle Eastern Studies (BRISMES),1,1
A5061835869,Joseph A. Kéchichian,S141456655,Genocide Studies and Prevention: An International Journal (GSP),0,2
A5061835869,Joseph A. Kéchichian,S176007004,American Political Science Review (APSR),0,3
A5061835869,Joseph A. Kéchichian,S184885884,Middle East Journal,2,11
A5061835869,Joseph A. Kéchichian,S87435064,International Journal of Middle East Studies (IJMES),0,4
A5061858415,Simona Sharoni,S184885884,Middle East Journal,2,2
