word1,word2,count
present,research,13
palestinian,context,13
convention,human,13
sociology,religion,13
cultural,anthropology,13
case,palestinian,13
gender,base,13
also,international,13
access,september,13
new,dynamic,13
activity,west,13
view,article,13
special,study,13
citation,2005,13
interest,include,13
content,figure,13
review,share,13
cite,search,13
search,site,13
download,citation,13
study,search,13
search,content,13
content,only,13
only,available,13
august,november,13
march,return,13
day,jps,13
jps,style,13
border,politics,13
divide,society,12
international,political,12
crisis,israel,12
israeli,intelligence,12
lebanon,1982,12
exist,literature,12
boycott,israel,12
state,make,12
many,israeli,12
examine,relationship,12
jew,holocaust,12
cultural,political,12
israeli,civilian,12
colonial,violence,12
war,genocide,12
have,little,12
ed.,new,12
york,basic,12
african,american,12
use,israel,12
october,2001,12
politics,memory,12
politics,new,12
state,new,12
may,2001,12
establish,jewish,12
colonial,rule,12
law,occupation,12
genocide,critical,12
1947,1949,12
reason,why,12
press,1975,12
article,base,12
law,tel,12
broad,context,12
book,include,12
research,vol.,12
world,new,12
political,study,12
research,center,12
year,follow,12
research,project,12
one,few,12
political,group,12
approach,study,12
worker,israel,12
state,control,12
explore,role,12
political,force,12
pattern,political,12
question,regard,12
education,system,12
muslim,arab,12
main,finding,12
identity,palestinian,12
experience,palestinian,12
reveal,how,12
social,worker,12
israel,long,12
make,decision,12
school,student,12
school,israel,12
relationship,two,12
ethnic,state,12
question,israel,12
arab,culture,12
israel,examine,12
settlement,palestinian,12
divide,three,12
military,rule,12
cooperation,council,12
discuss,how,12
include,palestinian,12
power,israel,12
former,israeli,12
justice,system,12
israeli,democracy,12
international,crisis,12
soviet,jew,12
about,percent,12
least,one,12
zionist,narrative,12
create,new,12
creation,state,12
young,person,12
1993,oslo,12
election,israel,12
minister,david,12
arab,leader,12
israel,begin,12
economic,relation,12
jerusalem,1967,12
domestic,international,12
one,land,12
palestinian,have,12
jerusalem,palestinian,12
military,doctrine,12
far,reach,12
international,arab,12
egyptian,army,12
arab,regime,12
why,israel,12
especially,when,12
state,have,12
little,attention,12
state,include,12
history,modern,12
analysis,israel,12
mainly,israeli,12
chapter,examine,12
israel,make,12
university,student,12
language,identity,12
israeli,nuclear,12
peace,press,12
zionist,organization,12
support,arab,12
success,failure,12
israeli,academic,12
nature,israeli,12
national,authority,12
story,palestinian,12
university,author,12
attack,israeli,12
1967,israeli,12
israeli,archive,12
place,israel,12
research,article,12
early,period,12
great,detail,12
